day,posts,likes,views
2016-04-22,1,0,0
2016-06-01,1,0,0
2016-06-03,1,0,0
2016-06-09,1,0,0
2016-06-15,1,0,0
2016-06-27,1,0,0
2017-01-12,1,28,6656
2017-01-18,1,7,5468
2017-01-19,1,20,5972
2017-02-08,1,22,3517
2017-02-09,1,33,3671
2017-02-15,1,236,3886
2017-02-17,2,375,7965
2017-02-22,3,11,8168
2017-02-26,1,8,3243
2017-04-05,1,44,5167
2017-04-07,1,10,4689
2017-04-10,1,18,3337
2017-04-11,1,6,2976
2017-04-13,1,13,2942
2017-04-14,1,6,2864
2017-04-18,2,21,5528
2017-04-19,2,11,6233
2017-04-20,2,50,6424
2017-04-21,1,21,3549
2017-04-24,1,14,3235
2017-04-25,1,56,3807
2017-04-26,2,63,7478
2017-04-28,2,40,9312
2017-05-02,1,24,5019
2017-05-15,1,69,6119
2017-05-16,1,122,7392
2017-05-17,1,16,6860
2017-05-18,2,75,16530
2017-05-19,1,137,10496
2017-05-22,1,125,10789
2017-05-25,1,101,12076
2017-05-30,1,34,12199
2017-05-31,1,38,13055
2017-06-08,1,76,12194
2017-06-14,1,19,12142
2017-06-16,1,24,12940
2017-07-04,1,26,7151
2017-07-11,1,14,7286
2017-07-12,1,29,8103
2017-07-13,1,189,97191
2017-07-18,1,17,8213
2017-07-24,1,15,8651
2017-08-08,1,25,7173
2017-08-11,1,30,7233
2017-08-14,1,8,7119
2017-08-16,1,12,7784
2017-08-21,2,46,16076
2017-08-24,1,237,82722
2017-08-25,1,16,8718
2017-08-28,1,11,9341
2017-09-01,1,25,9786
2017-09-05,1,18,9439
2017-09-08,1,35,9814
2017-09-11,1,16,10209
2017-09-18,1,14,8325
2017-09-22,1,11,7952
2017-09-25,1,23,8810
2017-10-02,2,17,15330
2017-10-06,1,12,8764
2017-10-09,1,10,9194
2017-10-16,1,9,8163
2017-10-17,1,13,9174
2017-10-20,1,67,12359
2017-10-23,1,13,9404
2017-10-26,1,18,8738
2017-10-30,1,11,8485
2017-10-31,1,22,11113
2017-11-03,1,13,8223
2017-11-07,1,16,9017
2017-11-08,1,12,8574
2017-11-10,1,12,6938
2017-11-13,1,10,7144
2017-11-14,1,15,7654
2017-11-16,1,368,31881
2017-11-17,1,16,6520
2017-11-20,3,79,25470
2017-11-23,1,14,6942
2017-11-24,3,84,27044
2017-11-27,1,25,11430
2017-11-28,1,45,20841
2017-11-29,1,37,14138
2017-12-04,1,109,16398
2017-12-08,2,182,22618
2017-12-11,2,61,12725
2017-12-12,1,27,6928
2017-12-13,1,22,6252
2017-12-14,1,27,6424
2017-12-15,1,23,6598
2017-12-18,3,94,20623
2017-12-19,1,24,6429
2017-12-20,1,21,6488
2017-12-21,1,34,6967
2017-12-22,1,22,5133
2017-12-25,3,118,23378
2017-12-27,2,58,14080
2017-12-28,1,57,9451
2017-12-29,3,541,62347
2018-01-15,1,16,6912
2018-01-17,1,96,9556
2018-01-18,1,46,8103
2018-01-22,1,22,7249
2018-01-24,1,77,6901
2018-01-26,1,22,5632
2018-01-29,1,24,6864
2018-02-01,1,93,6459
2018-02-02,1,57,9876
2018-02-05,1,21,6334
2018-02-06,1,27,6672
2018-02-07,1,60,6036
2018-02-08,2,44,11318
2018-02-09,1,17,6635
2018-02-12,1,26,8134
2018-02-14,2,22,16187
2018-02-19,1,30,8762
2018-02-26,1,14,7247
2018-02-28,1,22,7634
2018-03-01,1,25,7390
2018-03-05,2,47,12801
2018-03-07,1,22,4840
2018-03-12,1,14,3736
2018-03-13,3,24,7503
2018-03-14,3,55,8688
2018-03-15,2,30,6427
2018-03-16,3,21,9611
2018-03-17,3,51,14397
2018-03-18,2,254,14524
2018-03-19,2,31,7738
2018-03-20,3,67,12920
2018-03-21,2,151,11119
2018-03-22,4,96,13766
2018-03-23,4,312,50857
2018-03-24,2,29,8321
2018-03-25,2,140,12445
2018-03-26,2,18,6733
2018-03-27,3,68,11955
2018-03-28,3,75,16483
2018-03-29,2,46,7476
2018-03-30,4,149,18151
2018-03-31,1,39,4593
2018-04-01,4,117,17255
2018-04-02,3,74,11851
2018-04-03,3,53,12051
2018-04-04,3,82,11312
2018-04-05,3,28,8798
2018-04-06,5,291,61410
2018-04-07,2,74,8920
2018-04-08,2,176,16674
2018-04-09,3,45,11872
2018-04-10,4,47,12785
2018-04-11,3,60,10256
2018-04-12,3,32,8701
2018-04-13,4,119,16166
2018-04-14,2,77,9322
2018-04-15,2,136,12396
2018-04-16,3,54,10986
2018-04-17,4,162,19990
2018-04-18,3,123,16654
2018-04-19,1,14,3533
2018-04-20,5,371,96828
2018-04-21,2,49,8248
2018-04-22,2,74,11383
2018-04-23,3,69,12413
2018-04-24,4,168,61509
2018-04-25,2,40,12593
2018-04-26,3,64,40882
2018-04-27,5,345,85923
2018-04-28,2,63,9387
2018-04-29,2,50,9724
2018-04-30,4,100,15926
2018-05-01,3,136,54104
2018-05-02,3,276,89823
2018-05-03,2,89,8647
2018-05-04,5,237,38581
2018-05-05,2,125,32619
2018-05-06,2,126,12223
2018-05-07,5,49,23004
2018-05-08,5,186,75810
2018-05-09,1,31,4403
2018-05-10,3,140,93086
2018-05-11,4,172,18360
2018-05-12,2,127,36281
2018-05-13,2,98,12884
2018-05-14,4,113,18131
2018-05-15,4,153,37426
2018-05-16,4,52,18050
2018-05-17,2,100,55800
2018-05-18,4,687,86426
2018-05-19,1,78,24234
2018-05-20,1,32,5368
2018-05-21,5,189,81750
2018-05-22,5,230,26555
2018-05-23,6,1077,1846215
2018-05-24,3,291,48979
2018-05-25,4,234,24257
2018-05-26,2,103,14241
2018-05-27,2,65,15052
2018-05-28,4,159,68918
2018-05-29,5,213,32361
2018-05-30,4,104,19739
2018-05-31,3,213,85553
2018-06-01,6,376,92362
2018-06-02,2,214,34959
2018-06-03,2,180,18946
2018-06-04,4,193,83898
2018-06-05,3,131,24146
2018-06-06,4,196,124477
2018-06-07,4,182,26830
2018-06-08,4,371,93251
2018-06-09,3,87,17522
2018-06-10,2,156,18827
2018-06-11,3,71,17053
2018-06-12,3,122,21213
2018-06-13,2,69,61990
2018-06-14,3,237,157318
2018-06-15,4,664,171558
2018-06-16,1,110,69459
2018-06-17,2,115,15276
2018-06-18,4,105,30365
2018-06-19,2,59,12856
2018-06-20,2,45,13828
2018-06-21,3,125,93951
2018-06-22,4,877,101624
2018-06-23,3,145,40508
2018-06-24,2,102,18240
2018-06-25,2,51,14389
2018-06-26,3,170,64583
2018-06-27,2,96,66313
2018-06-28,3,156,23968
2018-06-29,4,392,91023
2018-06-30,2,94,16405
2018-07-01,2,74,16351
2018-07-02,3,178,52253
2018-07-03,3,108,20688
2018-07-04,4,162,30057
2018-07-05,3,153,53783
2018-07-06,4,304,54494
2018-07-07,2,82,19735
2018-07-08,2,127,18427
2018-07-09,4,116,31638
2018-07-10,3,135,85397
2018-07-11,3,447,175581
2018-07-12,4,186,29561
2018-07-13,4,556,93469
2018-07-14,2,73,15275
2018-07-15,2,53,16485
2018-07-16,3,118,25763
2018-07-17,6,137,41646
2018-07-18,4,196,39719
2018-07-19,5,103,30403
2018-07-20,5,196,32447
2018-07-21,2,75,15740
2018-07-22,2,65,15803
2018-07-23,5,192,87940
2018-07-24,5,199,31602
2018-07-25,5,285,110440
2018-07-26,5,231,88130
2018-07-27,5,206,45024
2018-07-28,2,136,41087
2018-07-29,2,151,25545
2018-07-30,5,396,164061
2018-07-31,4,223,61335
2018-08-01,2,81,14562
2018-08-02,4,210,48819
2018-08-03,4,265,32960
2018-08-04,2,76,24352
2018-08-05,2,117,18894
2018-08-06,3,126,20766
2018-08-07,4,169,28555
2018-08-08,3,135,26141
2018-08-09,5,173,28092
2018-08-10,5,273,33077
2018-08-11,2,106,17720
2018-08-12,2,140,18350
2018-08-13,4,75,21484
2018-08-14,4,129,26026
2018-08-15,4,153,22240
2018-08-16,3,64,14426
2018-08-17,5,369,35554
2018-08-18,2,96,15272
2018-08-19,2,96,17507
2018-08-20,4,137,22322
2018-08-21,5,159,28451
2018-08-22,4,164,21095
2018-08-23,4,105,20274
2018-08-24,3,146,17863
2018-08-25,2,74,15067
2018-08-26,2,96,15299
2018-08-27,4,114,20392
2018-08-28,6,166,32493
2018-08-29,4,108,21107
2018-08-30,3,127,17731
2018-08-31,4,193,26541
2018-09-01,2,78,18342
2018-09-02,2,108,19130
2018-09-03,4,252,27836
2018-09-04,4,158,28757
2018-09-05,4,174,25469
2018-09-06,3,246,23943
2018-09-07,4,193,26352
2018-09-08,2,98,17127
2018-09-09,2,125,20300
2018-09-10,5,261,36498
2018-09-11,4,203,31140
2018-09-12,3,153,21910
2018-09-13,2,113,15016
2018-09-14,3,210,25060
2018-09-15,2,103,18623
2018-09-16,2,80,16821
2018-09-17,4,139,27014
2018-09-18,5,214,35651
2018-09-19,3,93,17757
2018-09-20,3,90,20974
2018-09-21,3,147,21050
2018-09-22,2,92,18586
2018-09-23,1,83,9581
2018-09-24,4,118,26201
2018-09-25,4,218,35268
2018-09-26,3,119,21144
2018-09-27,3,189,23784
2018-09-28,3,197,24823
2018-09-29,2,104,20959
2018-09-30,1,67,11371
2018-10-01,4,225,36133
2018-10-02,4,105,29298
2018-10-03,3,171,22235
2018-10-04,3,85,19249
2018-10-05,3,130,22031
2018-10-06,2,78,16564
2018-10-07,1,52,8568
2018-10-08,4,112,25349
2018-10-09,6,140,35416
2018-10-10,5,178,30115
2018-10-11,5,160,27578
2018-10-12,5,205,30495
2018-10-13,2,68,17192
2018-10-14,1,39,6934
2018-10-15,5,132,31351
2018-10-16,4,187,27022
2018-10-17,6,161,34000
2018-10-18,5,73,27021
2018-10-19,5,154,29352
2018-10-20,2,71,16950
2018-10-21,1,23,5984
2018-10-22,6,175,35087
2018-10-23,5,171,32120
2018-10-24,5,154,29154
2018-10-25,5,99,26148
2018-10-26,6,223,38586
2018-10-27,2,65,18340
2018-10-28,1,38,7493
2018-10-29,4,126,25640
2018-10-30,5,215,31623
2018-10-31,6,176,36625
2018-11-01,4,106,21844
2018-11-02,5,242,31074
2018-11-03,3,61,22131
2018-11-04,2,120,14880
2018-11-05,3,101,17948
2018-11-06,6,120,34271
2018-11-07,6,135,31873
2018-11-08,3,69,17582
2018-11-09,7,179,39771
2018-11-10,3,169,25724
2018-11-11,1,38,6596
2018-11-12,6,153,32696
2018-11-13,5,149,30075
2018-11-14,5,92,25403
2018-11-15,5,79,27691
2018-11-16,4,267,33566
2018-11-17,3,177,35436
2018-11-18,1,32,9753
2018-11-19,6,202,38382
2018-11-20,5,159,37093
2018-11-21,6,160,41861
2018-11-22,4,113,28273
2018-11-23,4,237,38310
2018-11-24,2,95,27070
2018-11-25,1,87,12437
2018-11-26,5,188,40246
2018-11-27,4,146,37554
2018-11-28,6,254,46985
2018-11-29,4,129,32034
2018-11-30,8,435,69928
2018-12-01,2,95,28429
2018-12-02,1,124,14254
2018-12-03,5,257,48212
2018-12-04,5,217,49043
2018-12-05,5,217,47079
2018-12-06,6,195,56432
2018-12-07,4,258,44588
2018-12-08,2,230,43372
2018-12-09,1,59,11593
2018-12-10,4,228,42892
2018-12-11,6,229,54289
2018-12-12,5,242,42225
2018-12-13,5,151,42390
2018-12-14,4,234,37071
2018-12-15,3,280,48690
2018-12-16,2,186,25179
2018-12-17,5,133,37622
2018-12-18,4,132,34129
2018-12-19,8,265,52869
2018-12-20,6,188,43610
2018-12-21,5,242,45726
2018-12-22,2,164,36587
2018-12-23,1,123,11525
2018-12-24,3,156,27061
2018-12-25,7,196,55288
2018-12-26,6,245,51639
2018-12-27,6,265,63298
2018-12-28,2,140,22176
2018-12-29,3,135,35529
2018-12-30,1,96,19306
2018-12-31,3,317,45475
2019-01-01,1,126,25860
2019-01-02,2,128,33860
2019-01-03,1,51,13584
2019-01-04,2,183,35318
2019-01-07,2,338,46101
2019-01-08,1,80,23834
2019-01-09,3,133,27550
2019-01-10,3,115,27627
2019-01-11,4,256,40693
2019-01-12,3,182,39032
2019-01-13,1,61,12675
2019-01-14,3,263,27849
2019-01-15,4,146,31334
2019-01-16,5,187,37535
2019-01-17,5,151,40748
2019-01-18,4,261,36647
2019-01-19,3,203,36586
2019-01-20,1,43,12566
2019-01-21,5,194,39123
2019-01-22,5,120,36355
2019-01-23,3,118,25194
2019-01-24,5,161,38402
2019-01-25,7,1436,56740
2019-01-26,2,99,21404
2019-01-27,1,20,7541
2019-01-28,3,81,21438
2019-01-29,4,95,27695
2019-01-30,4,217,35133
2019-01-31,5,112,36370
2019-02-01,5,162,34485
2019-02-02,4,154,37188
2019-02-03,2,60,21296
2019-02-04,4,169,37965
2019-02-05,3,123,25299
2019-02-06,4,125,29024
2019-02-07,6,146,40407
2019-02-08,5,223,41179
2019-02-09,2,87,20477
2019-02-10,3,592,68822
2019-02-11,5,290,48443
2019-02-12,4,108,26232
2019-02-13,3,244,27150
2019-02-14,7,567,57245
2019-02-15,4,182,29618
2019-02-16,5,120,37747
2019-02-17,2,224,24326
2019-02-18,6,233,49154
2019-02-19,3,102,22410
2019-02-20,3,282,33586
2019-02-21,7,369,66773
2019-02-22,6,165,38079
2019-02-23,4,178,35937
2019-02-24,2,328,35107
2019-02-25,6,215,47781
2019-02-26,4,145,31496
2019-02-27,3,182,32035
2019-02-28,5,209,40027
2019-03-01,5,377,74512
2019-03-02,2,154,47967
2019-03-03,3,598,75656
2019-03-04,5,184,40190
2019-03-05,4,188,36930
2019-03-06,5,167,34958
2019-03-07,5,154,38616
2019-03-08,3,169,27805
2019-03-09,4,249,47701
2019-03-10,2,767,89020
2019-03-11,5,205,40229
2019-03-12,6,385,62018
2019-03-13,4,122,26163
2019-03-14,6,381,60913
2019-03-15,7,321,52377
2019-03-16,3,87,26803
2019-03-17,2,546,58576
2019-03-18,5,204,40651
2019-03-19,5,126,42729
2019-03-20,5,724,107707
2019-03-21,4,233,46104
2019-03-22,6,242,50370
2019-03-23,3,142,40886
2019-03-24,2,651,85299
2019-03-25,4,149,36394
2019-03-26,5,122,42114
2019-03-27,4,419,58620
2019-03-28,6,184,45288
2019-03-29,4,222,34820
2019-03-30,3,162,38718
2019-03-31,2,727,63797
2019-04-01,5,225,43475
2019-04-02,3,150,30422
2019-04-03,3,326,48751
2019-04-04,6,510,72337
2019-04-05,6,286,56989
2019-04-06,2,97,27880
2019-04-07,2,1018,84106
2019-04-08,6,421,69130
2019-04-09,3,183,35633
2019-04-10,4,449,60893
2019-04-11,4,138,34627
2019-04-12,3,319,50383
2019-04-13,2,122,36944
2019-04-14,2,430,44329
2019-04-15,5,216,48384
2019-04-16,4,180,40634
2019-04-17,3,372,53649
2019-04-18,5,266,46015
2019-04-19,5,414,57851
2019-04-20,2,194,36474
2019-04-21,2,571,58831
2019-04-22,2,150,24705
2019-04-23,3,96,28988
2019-04-24,4,123,33970
2019-04-25,5,147,37741
2019-04-26,3,241,37762
2019-04-27,3,134,31188
2019-04-28,2,501,53880
2019-04-29,5,190,41830
2019-04-30,4,88,29624
2019-05-01,1,40,8249
2019-05-02,3,129,36053
2019-05-03,2,65,20484
2019-05-04,1,51,14387
2019-05-05,2,357,57295
2019-05-06,3,283,37461
2019-05-07,2,85,21668
2019-05-08,3,223,35851
2019-05-09,1,137,18131
2019-05-11,1,103,25944
2019-05-12,1,304,31173
2019-05-13,4,195,33598
2019-05-14,2,51,16483
2019-05-15,3,187,31214
2019-05-16,4,129,40696
2019-05-17,3,125,31408
2019-05-18,2,93,23882
2019-05-19,2,544,63922
2019-05-20,3,316,117663
2019-05-21,2,56,17227
2019-05-22,4,148,32624
2019-05-23,4,165,47982
2019-05-24,4,172,40127
2019-05-25,2,76,16911
2019-05-26,2,190,36808
2019-05-27,2,350,41551
2019-05-28,2,35,15478
2019-05-29,4,180,30286
2019-05-30,3,201,42550
2019-05-31,5,345,50762
2019-06-01,2,95,21348
2019-06-02,2,940,145400
2019-06-03,2,98,21419
2019-06-04,2,40,16377
2019-06-05,2,405,47614
2019-06-06,3,122,28493
2019-06-07,4,153,33883
2019-06-08,1,41,11720
2019-06-09,2,284,33279
2019-06-10,6,233,56094
2019-06-11,2,32,16283
2019-06-12,2,255,35245
2019-06-13,3,190,41941
2019-06-14,3,171,30544
2019-06-15,1,89,13084
2019-06-16,1,66,8687
2019-06-17,3,215,29018
2019-06-18,2,44,17958
2019-06-19,2,63,19168
2019-06-20,3,114,28984
2019-06-21,2,86,19844
2019-06-22,1,19,9481
2019-06-23,1,66,13380
2019-06-24,2,165,25982
2019-06-25,3,72,24003
2019-06-26,3,141,28219
2019-06-27,3,181,31785
2019-06-28,2,92,22395
2019-06-30,2,74,17619
2019-07-01,2,39,12506
2019-07-02,3,132,26342
2019-07-03,2,140,18384
2019-07-04,3,218,89683
2019-07-05,3,88,23068
2019-07-06,1,148,15704
2019-07-07,1,81,11479
2019-07-08,3,131,23356
2019-07-09,3,187,30324
2019-07-10,4,140,33276
2019-07-11,3,185,27633
2019-07-12,2,109,18867
2019-07-14,1,54,8033
2019-07-15,3,154,24968
2019-07-16,2,47,14221
2019-07-17,2,90,15807
2019-07-18,3,162,26489
2019-07-19,6,175,47989
2019-07-21,1,114,13484
2019-07-22,3,110,22524
2019-07-23,4,89,30610
2019-07-24,2,102,16790
2019-07-25,3,152,27563
2019-07-26,3,69,26302
2019-07-29,2,182,23198
2019-07-30,2,61,14723
2019-07-31,2,81,16112
2019-08-01,4,160,65518
2019-08-02,3,108,27503
2019-08-03,2,65,17618
2019-08-04,1,102,10355
2019-08-05,2,185,24955
2019-08-06,2,66,16105
2019-08-07,3,128,26011
2019-08-08,3,132,25772
2019-08-09,4,110,61327
2019-08-10,2,104,53314
2019-08-11,2,105,27172
2019-08-12,3,113,34852
2019-08-13,4,123,38944
2019-08-14,3,143,64775
2019-08-15,3,327,36868
2019-08-16,4,102,30035
2019-08-17,3,61,22038
2019-08-18,2,193,33129
2019-08-19,2,158,22442
2019-08-20,2,123,16140
2019-08-21,2,93,30950
2019-08-22,3,149,22381
2019-08-23,3,74,28775
2019-08-24,1,97,8494
2019-08-25,1,136,12443
2019-08-26,3,267,35432
2019-08-27,2,114,18725
2019-08-28,2,57,14898
2019-08-29,2,60,16459
2019-08-30,5,122,44914
2019-08-31,1,65,10769
2019-09-01,1,44,10927
2019-09-02,3,124,28283
2019-09-03,2,104,18652
2019-09-04,2,240,30649
2019-09-05,2,63,18071
2019-09-06,2,40,17337
2019-09-07,2,74,18559
2019-09-08,1,136,21039
2019-09-09,3,203,34989
2019-09-10,2,87,23455
2019-09-11,3,129,49209
2019-09-12,2,290,21330
2019-09-13,1,22,11748
2019-09-14,2,115,20055
2019-09-15,2,108,26712
2019-09-16,1,49,13423
2019-09-17,2,79,21647
2019-09-18,2,58,17710
2019-09-19,3,124,28312
2019-09-20,2,159,21010
2019-09-21,4,304,41884
2019-09-22,3,212,34788
2019-09-23,2,124,17604
2019-09-24,2,49,66001
2019-09-25,1,22,14488
2019-09-26,2,72,15762
2019-09-27,2,66,15168
2019-09-28,1,63,10694
2019-09-29,2,70,20697
2019-09-30,3,139,28917
2019-10-01,2,43,21628
2019-10-02,2,170,24199
2019-10-03,2,71,17264
2019-10-04,2,129,22512
2019-10-05,2,156,28196
2019-10-06,2,224,33626
2019-10-07,3,89,29520
2019-10-08,1,316,29538
2019-10-09,2,49,18101
2019-10-10,2,77,22474
2019-10-11,1,100,16324
2019-10-12,1,47,9397
2019-10-13,1,182,25033
2019-10-14,3,329,47128
2019-10-15,3,230,34810
2019-10-16,2,145,24979
2019-10-17,2,126,18872
2019-10-18,2,99,21640
2019-10-19,1,56,11158
2019-10-21,3,109,23750
2019-10-22,3,278,34342
2019-10-23,2,220,23783
2019-10-24,2,203,35405
2019-10-25,2,257,40808
2019-10-26,1,13,7657
2019-10-27,1,43,9534
2019-10-28,3,348,35202
2019-10-29,3,76,24233
2019-10-30,4,224,37285
2019-10-31,3,109,31517
2019-11-01,3,202,35575
2019-11-02,1,14,12856
2019-11-03,1,22,13854
2019-11-04,2,52,18369
2019-11-05,2,73,20796
2019-11-06,2,138,18918
2019-11-07,4,152,40632
2019-11-08,2,132,20476
2019-11-09,1,21,9066
2019-11-10,2,188,134844
2019-11-11,3,174,32060
2019-11-12,2,70,17641
2019-11-13,4,200,47509
2019-11-14,2,79,17821
2019-11-15,2,49,20319
2019-11-16,1,106,12109
2019-11-17,2,67,17154
2019-11-18,3,215,39196
2019-11-19,2,147,23790
2019-11-20,2,122,23399
2019-11-21,3,197,29467
2019-11-22,2,198,25644
2019-11-23,1,56,9210
2019-11-24,1,50,11171
